requirement_ru,stack,skills
"Опыт работы/понимание систем, связанные с 1С ЗУП, DWH, КИАС, MS задачи, дэшбордами и другими корпоративными решениями",,"1с зуп|dwh|киас|ms задачи"
"Уверенное знание Python и его библиотек для анализа данных",,"python"
"Продвинутое знание SQL, опыт написания сложных запросов и оптимизации их производительности",,"sql"
"Опыт работы с корпоративными DWH (Greenplum, Clickhouse и др.)",,"greenplum|clickhouse"
"Опыт работы с инструментами автоматизации (н-р, Airflow)",,"airflow"
"Опыт работы с BI-системами (Tableau, Power BI)",,"tableau|power bi"
"Навык работы с инструментами: DBeaver, PyCharm CE (или их аналогами)",,"dbeaver|pycharm"
"Навык документирования требований в формате use cases/user story/технического задания",,"use cases|user story"
"Умение моделировать UML модели: Activity, Sequence",,"uml|activity diagram|sequence diagram"
"Навык проектирования интеграций REST, WebSocket",,"rest|websocket"
"Опыт документирования API в спецификации OpenAPI (swagger)",,"openapi|swagger"
"Знание инструментов тестирования postman, AKHQ (или их аналогов)",,"postman|akhq"
"Навыки проектирования интеграций с брокером Apache Kafka (в том числе, описание avro-схем)",,"apache kafka|avro"
"Навык проектирования БД в СУБД PostgreSQL",,"postgresql"
"Навык написания простых SQL скриптов",,"sql"
"Навык проектирования микросервисной архитектуры",,"microservices"
"Знание нотации описания архитектуры C4",,"c4"
"Опыт ведения документации в GitHub",,"github"
"Использование визуальных инструментов для совместной работы (Miro, Excalidraw, Draw.io)",,"miro|excalidraw|draw.io"
"Опыт работы с Airflow",,"airflow"
"Опыт анализа логов и мониторинга в Kibana",,"kibana"
"Согласование границ задач, формирование backlog и user stories",,"backlog|user story"
"Моделирование интеграций (API, DWH, метаданные, каталоги данных)",,"api|dwh"
"Сопровождение задач на всех стадий SDLC",,"sdlc"
"Участие в проработке архитектуры и CI/CD сценариев",,"ci/cd"
"Верификация реализованных функций и подготовка UAT-сценариев",,"uat"
"Ведение требований к модулям Data Catalog, Data Governance, Data Quality",,"data catalog|data governance|data quality"
"Проработка UX/flows для внутренних пользователей (data owners, analysts)",,"ux"
"Участие в планировании релизов и приоритизации backlog",,"backlog"
"Ведение Wiki / Tracker, описание API и сущностей",,"wiki|api"
"Опыт работы с микросервисами",,"микросервисы"
"Опыт проектирования архитектур",,"архитектуры"
"Опыт работы с нереляционными БД",,"нереляционные бд"
"Опыт работы с DWH/ETL хранилищами",,"dwh|etl"
"Опыт работы на позиции Senior Fullstack разработчика (Node.js + Vue.js или Node.js + React.js)",,"node.js|vue.js|reactjs"
"Опыт работы на позиции Senior или Middle+ Vue.js разработчика",,"vue.js"
"Опыт работы на позиции Senior или Middle Node.js разработчика",,"node.js"
"Опыт работы на позиции Middle или Middle+ Python разработчика",,"python"
"Высокий уровень владения принципами функционирования глобальных платёжных систем (Visa, MasterCard, American Express, UnionPay и прочие)",,"visa|mastercard|american express|unionpay"
"Четкое представление о технологиях онлайн-платежей (интернет-коммерция), включая протокол защиты транзакций EMV 3D-Secure",,"emv 3d-secure"
"Практический опыт работы с системами управления проектами и базами знаний (например, JIRA, Confluence и аналогичные инструменты)",,"jira|confluence"
"Владение международными стандартами моделирования процессов и проектирования систем (BPMN, UML)",,"bpmn|uml"
"Опыт работы с Linux",,"linux"
"Понимание и навыки работы с Kubernetes",,"kubernetes"
"Мониторинг (Prometheus, Alertmanager)",,"prometheus|alertmanager"
"Опыт работы с системами логирования (OpenSearch, Loki, Vector)",,"opensearch|loki|vector"
"Опыт работы с Distributed Tracing системами (OpenTelemetry, Tempo)",,"opentelemetry|tempo"
"Опыт в написании и ревью скриптов (например Python, Bash, Go)",,"python|bash|go"
"Опыт работы с CI/CD (ArgoCD, Jenkins, Github/GitLab, Helm charts)",,"argocd|jenkins|github|gitlab|helm"
"Опыт работы с GrafanaOnCall",,"grafanaoncall"
"Глубоких знаний Ansible и Terraform не требуется, но допустимо их использование при необходимости.",,"ansible|terraform"
"Обязательное знание всех блоков 1С:ЗУП КОРП (подбор персонала, мотивация, обучение и развитие, кадровый резерв, бюджетирование ФОТ, охрана труда) и блоков 1С:ЗУП (кадрового учета и расчета заработной платы) и бухгалтерский учет заработной платы на уровне самостоятельного ведения блока в проекте",,"1с:зуп корп|1с:зуп"
"Опыт визуализации функциональной архитектуры и архитектуры проектных решений в MS Visio, MS PowerPoint и защиты их перед Заказчиком",,"ms visio|ms powerpoint"
"Отличные навыки определения функциональных разрывов типовых конфигураций, формирования оптимальных проектных решений по доработкам и самостоятельного написания ФДР и понимание архитектуры метаданных типовых решений и наличии сертификата Специалиста-консультанта по 1С:ЗУП КОРП",,"1с:зуп корп"
